
" name                "

" Sydney              "
" Marrickville        "
" Balmain             "
" Vaucluse            "
" Heffron             "
" Coogee              "
" Rockdale            "
" North Shore         "
" Willoughby          "
" Lane Cove           "
" Ku-ring-gai         "
" Davidson            "
" Hornsby             "
" Hawkesbury          "
" Manly               "
" Wakehurst           "
" Pittwater           "
" Ryde                "
" Auburn              "
" Epping              "
" Canterbury          "
" Drummoyne           "
" Strathfield         "
" Granville           "
" Bankstown           "
" Toongabbie          "
" Parramatta          "
" Riverstone          "
" Fairfield           "
" Smithfield          "
" Cabramatta          "
" Menai               "
" Liverpool           "
" Macquarie Fields    "
" Kogarah             "
" Lakemba             "
" East Hills          "
" Oatley              "
" Miranda             "
" Cronulla            "
" Terrigal            "
" Wyong               "
" Cessnock            "
" Swansea             "
" Lake Macquarie      "
" Wallsend            "
" Newcastle           "
" Charlestown         "
" Upper Hunter        "
" Myall Lakes         "
" Port Stephens       "
" Bathurst            "
" Orange              "
" Tamworth            "
" Northern Tablelands "
" Barwon              "
" Port Macquarie      "
" Oxley               "
" Coffs Harbour       "
" Clarence            "
" Lismore             "
" Ballina             "
" Tweed               "
" Keira               "
" Wollongong          "
" Heathcote           "
" Kiama               "
" South Coast         "
" Bega                "
" Camden              "
" Wollondilly         "
" Mulgoa              "
" Goulburn            "
" Burrinjuck          "
" Monaro              "
" Albury              "
" Murray - Darling    "
" Wagga Wagga         "
" Murrumbidgee        "
" Londonderry         "
" Blacktown           "
" Mount Druitt        "
" Penrith             "
" Blue Mountains      "
" Dubbo               "
